City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,gurlan,41.8447,60.3919,35.95,17,22,5.98,UZ,1691312119
288,miles city,46.4083,-105.8406,18.54,77,100,2.57,US,1691312119
289,arfoud,31.4348,-4.2375,35.0,18,0,1.7,MA,1691312120
290,fale old settlement,-9.3852,-171.2468,28.81,76,9,5.57,TK,1691312120
291,sarmiento,-45.5882,-69.07,5.4,53,76,12.02,AR,1691312120
292,altamira,-3.2033,-52.2064,22.14,85,0,1.5,BR,1691312120
293,bilajer,40.5681,50.0378,31.9,51,0,5.14,AZ,1691312120
294,paraiso,9.8383,-83.8656,20.48,91,100,1.72,CR,1691312121
295,kalabo,-14.97,22.6814,24.67,28,0,4.43,ZM,1691312121
296,coquimbo,-29.9533,-71.3436,13.85,94,100,1.54,CL,1691311997
297,kimberley,-28.7323,24.7623,17.83,25,0,4.12,ZA,1691312121
298,puerto leguizamo,-0.1934,-74.7819,21.06,98,97,1.22,CO,1691312121
299,antsiranana,-12.2787,49.2917,27.42,54,40,10.8,MG,1691312121
300,chishmy,54.5765,55.3764,28.13,35,81,7.51,RU,1691312122
301,tarinkot,32.6268,65.8733,37.7,6,0,6.19,AF,1691312122
302,huntsville,34.7304,-86.5861,24.04,90,0,4.12,US,1691312025
303,nogliki,51.8333,143.1667,13.71,87,92,2.95,RU,1691312122
304,kasungu,-13.0333,33.4833,23.43,46,32,5.25,MW,1691312122
305,hoemul-li,41.4339,129.67,19.6,96,100,4.26,KP,1691312123
306,degerfors,59.238,14.4308,16.6,49,100,1.89,SE,1691312123
307,qianzhou,28.3167,109.7167,34.87,58,14,0.88,CN,1691311925
308,urengoy,65.9667,78.3667,27.17,34,2,3.72,RU,1691312123
309,ola,59.5833,151.2833,15.49,64,40,0.44,RU,1691311695
310,am timan,11.0297,20.2827,28.25,69,80,2.99,TD,1691312124
311,minas de marcona,-15.2119,-75.1103,10.88,87,11,3.52,PE,1691312124
312,thinadhoo,0.5333,72.9333,28.59,72,91,4.77,MV,1691312124
313,petrolina,-9.3986,-40.5008,22.03,73,75,5.66,BR,1691311992
314,mao,39.8885,4.2658,25.31,65,40,4.63,ES,1691312125
315,murzuq,25.9155,13.9184,37.9,15,0,1.33,LY,1691312125
316,veinticinco de mayo,-35.4323,-60.1727,9.43,85,34,1.23,AR,1691311818
317,ilukste,55.9775,26.2966,29.4,43,0,5.48,LV,1691312125
318,karratha,-20.7377,116.8463,25.9,46,70,5.9,AU,1691312125
319,port macquarie,-31.4333,152.9167,14.38,84,97,6.19,AU,1691312125
320,goroka,-6.0834,145.3873,15.63,94,55,1.77,PG,1691312126
321,sahar,24.3643,56.7468,35.01,66,17,4.12,OM,1691312126
322,linxia chengguanzhen,35.6003,103.2064,20.49,57,100,1.59,CN,1691312126
323,boma,7.0805,-2.1697,23.66,92,100,2.04,GH,1691312126
324,nizhniy odes,63.6445,54.856,26.23,42,13,2.56,RU,1691312126
325,birkhadem,36.715,3.05,26.44,44,0,2.06,DZ,1691312127
326,nueva gerona,21.8833,-82.8,29.04,73,1,2.46,CU,1691312127
327,kirensk,57.7853,108.1119,19.16,71,86,2.34,RU,1691312127
328,terrace,54.5163,-128.6035,19.01,72,75,3.6,CA,1691312004
329,luxor,25.6989,32.6421,38.03,15,0,0.0,EG,1691312127
330,okha,53.5739,142.9478,15.16,67,100,1.86,RU,1691312128
331,ajaccio,42.0,8.9167,25.03,47,20,7.72,FR,1691312128
332,burang,30.25,81.1667,19.19,51,63,4.44,CN,1691312128
333,st. paul,44.9444,-93.0933,23.23,75,0,4.12,US,1691311958
334,cabedelo,-6.9811,-34.8339,22.37,85,75,5.38,BR,1691312128
335,nushki,29.5542,66.0215,39.84,8,5,5.4,PK,1691312129
336,williams lake,52.1415,-122.1445,20.76,61,0,2.57,CA,1691312129
337,hadibu,12.65,54.0333,27.3,72,82,13.8,YE,1691312129
338,shilka,51.85,116.0333,24.5,40,100,2.77,RU,1691312129
339,bay roberts,47.5999,-53.2648,15.84,89,100,2.24,CA,1691312129
340,iskateley,67.6803,53.1512,24.14,52,75,4.49,RU,1691312130
341,praya,14.9215,-23.5087,26.3,78,20,5.14,CV,1691312130
342,trinidad,-14.8333,-64.9,23.5,58,37,1.75,BO,1691312130
343,baiyin,36.5583,104.2081,22.37,46,100,5.46,CN,1691312130
344,la plata,-34.9215,-57.9545,14.46,86,96,1.58,AR,1691312130
345,pisco,-13.7,-76.2167,15.01,88,40,0.51,PE,1691312131
